subgroup,pollster,sponsors,startdate,enddate,samplesize,population,weight,influence,tracking,dem,rep,net,adjusted_dem,adjusted_rep,adjusted_net,url,createddate,timestamp,modeldate,multiversions,partisan,poll_id,question_id,date
All polls,Cygnal,,6/30/2026,7/1/2026,1500.0, LV,1.354165,1.239049,,49.9,43.8,6.100002,49.03125,42.01913,7.012119,https://www.cygn.al/wp-content/uploads/2026/07/24136-Cygnal-National-Jul-26-NVT-Deck-Public-1.pdf,7/8/2026,11:00:38 12 Jul 2026,7/12/2026,,,901621,9016211,12jul2026
All polls,Rasmussen Reports,,6/24/2026,7/1/2026,2224.0, LV,1.212513,1.075992,,46.0,42.0,4.0,47.18314,41.96518,5.21796,https://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot_july07?utm_campaign=RR07072026DN&utm_source=criticalimpact&utm_medium=email,7/8/2026,11:00:38 12 Jul 2026,7/12/2026,,REP,901620,9016201,12jul2026
All polls,Hart Research Associates/Public Opinion Strategies,NBC News,5/29/2026,6/7/2026,3000.0, RV,1.515747,1.003676,,49.0,44.0,5.0,47.70073,42.55951,5.14122,https://www.nbcnews.com/politics/2026-election/poll-democrats-maintain-edge-fight-congress-trump-gets-poor-marks-rcna348913,6/14/2026,11:00:38 12 Jul 2026,7/12/2026,,,901548,9015484,12jul2026
All polls,Marquette University Law School,,6/9/2026,6/15/2026,827.0, LV,1.319499,0.9858907,,53.0,45.0,8.0,50.77065,43.50339,7.267258,https://law.marquette.edu/poll/2026/06/24/detailed-results-of-the-marquette-law-school-supreme-court-poll-july-9-15-2026/,6/25/2026,11:00:38 12 Jul 2026,7/12/2026,,,901579,9015795,12jul2026
All polls,Talker Research,Scripps News,6/25/2026,7/2/2026,2000.0, RV,0.9773859,0.8811406,,48.0,39.0,9.0,48.91533,40.55417,8.36116,https://www.scrippsnews.com/politics/scripps-news-poll-americans-excited-to-celebrate-july-4-but-divided-on-trumps-role,7/3/2026,11:00:38 12 Jul 2026,7/12/2026,,,901606,9016062,12jul2026
All polls,J.L. Partners,Daily Mail,6/24/2026,6/26/2026,625.0, LV,1.005027,0.8709134,,50.0,42.0,8.0,50.27962,43.19091,7.088711,https://www.dailymail.com/news/article-15945873/The-scorching-midterm-election-poll-shows-blue-wave-cresting-Republicans.html?ico=authors_pagination_desktop,7/6/2026,11:00:38 12 Jul 2026,7/12/2026,,,901612,9016121,12jul2026
All polls,Emerson College,,6/7/2026,6/8/2026,1200.0, LV,1.157191,0.8139871,,50.3,39.5,10.8,50.68803,40.37704,10.31099,https://emersoncollegepolling.com/june-2026/,6/11/2026,11:00:38 12 Jul 2026,7/12/2026,,,901541,9015412,12jul2026
All polls,TIPP Insights,Issues & Insights,5/26/2026,5/28/2026,1332.0, RV,1.335038,0.8055826,,46.0,41.0,5.0,47.05765,40.89893,6.158722,https://issuesinsights.com/2026/06/15/does-either-party-have-an-edge-in-2026-midterms-and-2028-presidential-election-ii-tipp-poll/,6/15/2026,11:00:38 12 Jul 2026,7/12/2026,,,901553,9015531,12jul2026
All polls,Quinnipiac University,,6/18/2026,6/22/2026,1165.0, RV,0.9681957,0.7899393,,49.0,42.0,7.0,48.0411,42.6184,5.422699,https://poll.qu.edu/poll-release?releaseid=3961,6/24/2026,11:00:38 12 Jul 2026,7/12/2026,,,901581,9015813,12jul2026
All polls,Echelon Insights,,6/18/2026,6/22/2026,1003.0, LV,0.9537903,0.7729026,,51.0,45.0,6.0,50.00652,42.67691,7.329609,https://echeloninsights.com/hubfs/_Media%20for%20Insights%20Blog/Echelon%20Insights%20America%20250%20Survey%20Topline%20-%20External.pdf,6/24/2026,11:00:38 12 Jul 2026,7/12/2026,,,901578,9015782,12jul2026
