president,subgroup,pollster,sponsors,startdate,enddate,samplesize,population,weight,influence,tracking,approve,disapprove,net,adjusted_approve,adjusted_disapprove,adjusted_net,url,createddate,timestamp
Donald Trump (2nd term),Adults,TIPP Insights,Issues & Insights,6/29/2026,7/2/2026,1473.0, A,1.68996,1.305131,,38.0,54.0,-16.0,37.75515,57.24166,-19.48651,https://tippinsights.com/trump-gets-a-july-bounce-in-voter-favorability-but-will-it-help-gop-candidates-in-midterms-i-i-tipp-poll/,7/2/2026,10:01:12 12 Jul 2026
Donald Trump (2nd term),Cost,YouGov,Economist,7/3/2026,7/6/2026,1603.0, A,1.05705,1.05705,,27.0,67.0,-40.0,27.45558,66.6594,-39.20382,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Qxo6bev.pdf,7/6/2026,10:01:47 12 Jul 2026
Donald Trump (2nd term),Economy,YouGov,Economist,7/3/2026,7/6/2026,1603.0, A,1.05705,1.05705,,32.0,63.0,-31.0,33.13036,63.14878,-30.01842,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Qxo6bev.pdf,7/6/2026,10:01:38 12 Jul 2026
Donald Trump (2nd term),Trade,Morning Consult,Cato Institute,7/3/2026,7/6/2026,2200.0, RV,0.9106224,0.9106224,,43.0,48.0,-5.0,38.19113,55.64173,-17.4506,https://pro-assets.morningconsult.com/wp-uploads/2026/07/MCPI-PI-Weekly_260706.html,7/6/2026,10:01:50 12 Jul 2026
Donald Trump (2nd term),Adults,YouGov,Economist,7/3/2026,7/6/2026,1603.0, A,0.8350969,0.8350969,,35.0,61.0,-26.0,35.14396,60.63005,-25.48609,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Qxo6bev.pdf,7/6/2026,10:01:12 12 Jul 2026
Donald Trump (2nd term),All polls,TIPP Insights,Issues & Insights,6/29/2026,7/2/2026,1473.0, A,1.68996,0.8240946,,38.0,54.0,-16.0,38.82404,56.68504,-17.861,https://tippinsights.com/trump-gets-a-july-bounce-in-voter-favorability-but-will-it-help-gop-candidates-in-midterms-i-i-tipp-poll/,7/2/2026,10:00:41 12 Jul 2026
Donald Trump (2nd term),Cost,Focaldata,Financial Times,6/26/2026,6/30/2026,2016.0, A,1.166868,0.7774562,,20.0,67.0,-47.0,22.14773,69.30534,-47.15762,https://www.focaldata.com/blog/ossoffism-and-the-gops-elite-problem,6/30/2026,10:01:47 12 Jul 2026
Donald Trump (2nd term),Trade,Focaldata,Financial Times,6/26/2026,6/30/2026,2016.0, A,1.166868,0.7774562,,27.0,56.0,-29.0,28.86966,56.69551,-27.82585,https://www.focaldata.com/blog/ossoffism-and-the-gops-elite-problem,6/30/2026,10:01:50 12 Jul 2026
Donald Trump (2nd term),Immigration,Focaldata,Financial Times,6/26/2026,6/30/2026,2016.0, A,1.166868,0.7659506,,41.0,46.0,-5.0,42.43906,49.12537,-6.68631,https://www.focaldata.com/blog/ossoffism-and-the-gops-elite-problem,6/30/2026,10:01:44 12 Jul 2026
Donald Trump (2nd term),Immigration,Morning Consult,Cato Institute,7/3/2026,7/6/2026,2200.0, RV,0.7537266,0.7537266,,48.0,45.0,3.0,44.55722,50.60173,-6.04451,https://pro-assets.morningconsult.com/wp-uploads/2026/07/MCPI-PI-Weekly_260706.html,7/6/2026,10:01:44 12 Jul 2026
